n_overlaps	sample	fraction
1	35x_ACC	0.12886005256241786
1	35x_K	0.051470588235294115
1	35x_PHU	0.08853482260183969
1	35x_PL	0.17550919842312745
1	35x_Q5	0.12401445466491459
2	35x_ACC	0.07071287779237845
2	35x_K	0.08823529411764706
2	35x_PHU	0.07210906701708279
2	35x_PL	0.05831143232588699
2	35x_Q5	0.0661957950065703
3	35x_ACC	0.0969119579500657
3	35x_K	0.1323529411764706
3	35x_PHU	0.10052562417871222
3	35x_PL	0.0905880420499343
3	35x_Q5	0.06504599211563732
4	35x_ACC	0.703515111695138
4	35x_K	0.40441176470588236
4	35x_PHU	0.7388304862023654
4	35x_PL	0.6755913272010512
4	35x_Q5	0.7447437582128777
